age,female,income,wealth
56,1,125479,360731
52,0,0,102671
52,1,233516,6646
51,1,0,944098
50,1,168309,539000
49,0,199996,-55265
49,1,255850,500652
48,0,624124,-19687
48,1,115422,68082
48,1,137591,757606
44,0,343279,73992
44,1,191005,212041
41,0,512568,-1123675
41,0,367515,667069
41,0,616476,-123736
40,1,201128,-275697
39,1,153347,10136
39,1,172164,365303
39,1,0,79943
37,1,259962,-328179
37,1,206551,188670
37,1,43896,136034
36,0,262315,-81321
35,1,226043,0
32,0,303336,272964
31,1,356528,400686
31,0,469888,-171737
30,0,280438,-473629
30,0,280797,26290
29,0,0,0
28,0,164181,244089
25,1,106282,-140504
23,0,35877,-39615
23,1,55055,-232713
22,0,86233,-44531
22,0,263431,-51169
22,0,56871,-87923
20,1,44105,-39376
20,0,70721,192
20,0,99837,6603
19,1,26832,19671
19,1,84316,6943
19,1,43493,42368
15,0,4000,0
15,0,24874,0
15,0,22102,0
14,1,0,0
13,0,0,0
13,1,11500,0
13,0,0,0
13,1,0,0
12,1,0,0
10,0,0,0
10,1,0,0
10,1,0,0
10,1,0,0
9,1,0,0
9,1,0,0
8,1,0,0
6,0,0,0
4,1,0,0
4,1,0,0
2,0,0,0
1,0,0,0
1,1,0,0
86,1,0,584249
83,1,0,79807
81,1,0,635836
79,1,0,188699
79,1,0,181097
74,1,0,204404
70,0,0,283915
67,1,0,7951
65,0,260941,-483685
65,0,18381,100687
62,1,0,34779
62,1,0,98276
62,0,118151,599147
60,0,684935,1280025
56,1,271019,20826
55,1,0,21321
54,0,347999,677220
54,1,145114,6106
53,0,183878,928
53,0,227917,674820
53,1,290427,29014
52,0,55931,-87330
50,1,435800,-315787
50,0,269679,925673
49,0,559573,1974328
49,1,143034,9974
48,1,159703,-364661
48,1,166280,29009
47,0,736814,538168
47,0,352632,2783615
47,1,104727,306181
47,0,0,-313315
46,1,0,360806
45,0,303351,-70784
43,0,207484,36550
43,0,354754,214323
42,0,227019,688644
41,1,99968,30209
39,1,391461,19689
39,1,243530,50345
39,1,324791,-51373
37,0,500502,-1281468
37,0,495081,-857720
37,1,0,184039
34,0,297988,-543040
33,1,7944,-913251
32,1,0,34006
32,1,0,-10221
28,0,163084,-373911
28,0,163540,-755984
28,1,118314,-182605
27,1,0,351
